"ID","OrderIndex","ManaCost","ManaCostPerLevel","ManaPerSecond","PowerDisplayID","AltPowerBarID","PowerCostPct","PowerCostMaxPct","PowerPctPerSecond","PowerType","RequiredAuraSpellID","OptionalCost","SpellID"
"169111","0","85","0","0","0","0","0","0","0","0","0","0","543"
"169130","0","35","0","0","0","0","0","0","0","0","0","0","172"
"169133","0","15","0","0","0","0","0","0","0","0","0","0","403"
"169134","0","105","0","0","0","0","0","0","0","0","0","0","597"
"169135","0","60","0","0","0","0","0","0","0","0","0","0","598"
"169145","0","30","0","0","0","0","0","0","0","0","0","0","139"
"169151","0","150","0","0","0","0","0","0","0","0","0","0","556"
"169157","0","40","0","0","0","0","0","0","0","0","0","0","136"
"169166","0","15","0","0","0","0","0","0","0","0","0","0","498"
"169169","0","100","0","0","0","0","0","0","0","0","0","0","126"
"169171","0","40","0","0","0","0","0","0","0","0","0","0","130"
"169172","0","0","0","0","0","0","8","0","0","0","0","0","132"
"169180","0","0","0","0","0","0","0","0","0","1","0","0","71"
"169185","0","20","0","0","0","0","0","0","0","0","0","0","585"
"169186","0","40","0","0","0","0","0","0","0","0","0","0","586"
"169187","0","60","0","0","0","0","0","0","0","0","0","0","587"
"169189","0","0","0","0","0","0","64","0","0","0","0","0","688"
"169190","0","100","0","0","0","0","0","0","0","1","0","0","99"
"169192","0","320","0","0","0","0","0","0","0","0","0","0","10"
"169198","0","35","0","0","0","0","0","0","0","0","0","0","467"
"169200","0","100","0","0","0","0","0","0","0","1","0","0","469"
"169202","0","25","0","0","0","0","0","0","0","0","0","0","116"
"169221","0","30","0","0","0","0","0","0","0","0","0","0","133"
"169222","0","45","0","0","0","0","0","0","0","0","0","0","143"
"169223","0","65","0","0","0","0","0","0","0","0","0","0","145"
"169226","0","95","0","0","0","0","0","0","0","0","0","0","546"
"169227","0","80","0","0","0","0","0","0","0","0","0","0","547"
"169228","0","40","0","0","0","0","0","0","0","0","0","0","548"
"169246","0","35","0","0","0","0","0","0","0","0","0","0","635"
"169256","0","75","0","0","0","0","0","0","0","0","0","0","642"
"169268","0","25","0","0","0","0","0","0","0","0","0","0","589"
"169274","0","60","0","0","0","0","0","0","0","3","0","0","53"
"169279","0","300","0","0","0","0","0","0","0","0","0","0","603"
"169290","0","55","0","0","0","0","0","0","0","0","0","0","689"
"169292","0","30","0","0","0","0","0","0","0","0","0","0","591"
"169301","0","50","0","0","0","0","0","0","0","0","0","0","339"
"169306","0","225","0","0","0","0","0","0","0","0","0","0","724"
"169307","0","410","0","0","0","0","0","0","0","0","0","0","596"
"169309","0","0","0","0","0","0","12","0","0","0","0","0","552"
"169310","0","50","0","0","0","0","0","0","0","0","0","0","594"
"169325","0","25","0","0","0","0","0","0","0","3","0","0","408"
"169329","0","255","0","0","0","0","0","0","0","0","0","0","421"
"169330","0","60","0","0","0","0","0","0","0","0","0","0","639"
"169334","0","0","0","0","0","0","7","0","0","0","0","0","526"
"169337","0","150","0","0","0","0","0","0","0","1","0","0","78"
"169341","0","0","0","0","0","0","0","0","0","1","0","0","100"
"169343","0","50","0","0","0","0","0","0","0","0","0","0","453"
"169347","0","55","0","0","0","0","0","0","0","0","0","0","122"
"169352","0","150","0","0","0","0","0","0","0","1","0","0","285"
"169361","0","105","0","0","0","0","0","0","0","0","0","0","602"
"169371","0","155","0","0","0","0","0","0","0","0","0","0","913"
"169376","0","0","0","0","0","0","80","0","0","0","0","0","982"
"169378","0","95","0","0","0","0","0","0","0","0","0","0","984"
"169383","0","0","0","0","0","0","14","0","0","0","0","0","527"
"169384","0","0","0","0","0","0","12","0","0","0","0","0","528"
"169387","0","0","0","0","0","0","68","0","0","0","0","0","693"
"169390","0","30","0","0","0","0","0","0","0","0","0","0","853"
"169393","0","48","0","0","0","0","0","0","0","0","0","0","696"
"169403","0","0","0","0","0","0","16","0","0","0","0","0","66"
"169411","0","0","0","0","0","0","80","0","0","0","0","0","697"
"169412","0","300","0","0","0","0","0","0","0","0","0","0","698"
"169414","0","200","0","0","0","0","0","0","0","1","0","0","779"
"169424","0","190","0","0","0","0","0","0","0","0","0","0","1026"
"169428","0","40","0","0","0","0","0","0","0","0","0","0","695"
"169434","0","200","0","0","0","0","0","0","0","1","0","0","780"
"169435","0","50","0","0","0","0","0","0","0","0","0","0","781"
"169436","0","345","0","0","0","0","0","0","0","0","0","0","930"
"169438","0","25","0","0","0","0","0","0","0","0","0","0","686"
"169439","0","45","0","0","0","0","0","0","0","0","0","0","707"
"169440","0","135","0","0","0","0","0","0","0","0","0","0","709"
"169441","0","110","0","0","0","0","0","0","0","0","0","0","647"
"169455","0","0","0","0","0","0","13","0","0","0","0","0","783"
"169456","0","20","0","0","0","0","0","0","0","0","0","0","687"
"169466","0","100","0","0","0","0","0","0","0","1","0","0","772"
"169467","0","70","0","0","0","0","0","0","0","0","0","0","915"
"169477","0","90","0","0","0","0","0","0","0","0","0","0","1094"
"169492","0","275","0","0","0","0","0","0","0","0","0","0","1042"
"169504","0","50","0","0","0","0","0","0","0","3","0","0","703"
"169516","0","25","0","0","0","0","0","0","0","0","0","0","529"
"169524","0","60","0","0","0","0","0","0","0","0","0","0","782"
"169525","0","95","0","0","0","0","0","0","0","0","0","0","943"
"169529","0","20","0","0","0","0","0","0","0","0","0","0","1002"
"169531","0","140","0","0","0","0","0","0","0","0","0","0","1004"
"169533","0","100","0","0","0","0","0","0","0","0","0","0","604"
"169534","0","350","0","0","0","0","0","0","0","0","0","0","605"
"169545","0","50","0","0","0","0","0","0","0","0","0","0","837"
"169556","0","100","0","0","0","0","0","0","0","1","0","0","72"
"169564","0","80","0","0","0","0","0","0","0","0","0","0","1714"
"169570","0","200","0","0","0","0","0","0","0","1","0","0","845"
"169581","0","0","0","0","0","0","80","0","0","0","0","0","691"
"169588","0","30","0","0","0","0","0","0","0","0","0","0","588"
"169589","0","150","0","0","0","0","0","0","0","0","0","0","1008"
"169591","0","110","0","0","0","0","0","0","0","0","0","0","1010"
"169600","0","25","0","0","0","0","0","0","0","0","0","0","348"
"169601","0","0","0","0","0","0","0","0","0","1","0","0","355"
"169603","0","0","0","0","0","0","8","0","0","0","0","0","370"
"169606","0","200","0","0","0","0","0","0","0","1","0","0","676"
"169608","0","70","0","0","0","0","0","0","0","0","0","0","879"
"169612","0","0","0","0","0","0","80","0","0","0","0","0","712"
"169617","0","530","0","0","0","0","0","0","0","0","0","0","759"
"169620","0","0","0","0","0","0","0","0","0","1","0","0","871"
"169623","0","150","0","0","0","0","0","0","0","1","0","0","284"
"169634","0","11","0","5","0","0","0","0","0","-2","0","0","755"
"169643","0","85","0","0","0","0","0","0","0","0","0","0","865"
"169649","0","75","0","0","0","0","0","0","0","0","0","0","1430"
"169664","0","200","0","0","0","0","0","0","0","0","0","0","939"
"169669","0","0","0","0","0","0","8","0","0","0","0","0","475"
"169683","0","0","0","0","0","0","8","0","0","0","0","0","1044"
"169685","0","0","0","0","0","0","80","0","0","0","0","0","713"
"169687","0","100","0","0","0","0","0","0","0","0","0","0","905"
"169691","0","25","0","0","0","0","0","0","0","0","0","0","324"
"169692","0","25","0","0","0","0","0","0","0","0","0","0","331"
"169693","0","45","0","0","0","0","0","0","0","0","0","0","332"
"169695","0","100","0","0","0","0","0","0","0","0","0","0","1490"
"169710","0","110","0","0","0","0","0","0","0","0","0","0","1020"
"169711","0","35","0","0","0","0","0","0","0","0","0","0","205"
"169718","0","35","0","0","0","0","0","0","0","0","0","0","1108"
"169732","0","100","0","0","0","0","0","0","0","1","0","0","1735"
"169733","0","105","0","0","0","0","0","0","0","0","0","0","1075"
"169737","0","135","0","0","0","0","0","0","0","0","0","0","3034"
"169746","0","0","0","0","0","0","80","0","0","0","0","0","1122"
"169751","0","45","0","0","0","0","0","0","0","3","0","0","1760"
"169758","0","15","0","0","0","0","0","0","0","2","0","0","1754"
"169772","0","370","0","0","0","0","0","0","0","0","0","0","2060"
"169773","0","125","0","0","0","0","0","0","0","0","0","0","2061"
"169792","0","100","0","0","0","0","0","0","0","1","0","0","1671"
"169793","0","100","0","0","0","0","0","0","0","1","0","0","1672"
"169794","0","0","0","0","0","0","0","0","0","-2","0","0","1454"
"169809","0","15","0","0","0","0","0","0","0","0","0","0","1978"
"169819","0","0","0","0","0","0","0","0","0","-2","0","0","1456"
"169820","0","25","0","0","0","0","0","0","0","3","0","0","1766"
"169824","0","45","0","0","0","0","0","0","0","3","0","0","1776"
"169841","0","25","0","0","0","0","0","0","0","3","0","0","1767"
"169842","0","25","0","0","0","0","0","0","0","3","0","0","1768"
"169843","0","25","0","0","0","0","0","0","0","3","0","0","1769"
"169846","0","70","0","0","0","0","0","0","0","0","0","0","1244"
"169851","0","705","0","0","0","0","0","0","0","0","0","0","2062"
"169871","0","0","0","0","0","0","16","0","0","-2","0","0","2687"
"169876","0","50","0","0","0","0","0","0","0","1","0","0","1161"
"169877","0","40","0","0","0","0","0","0","0","0","0","0","1462"
"169882","0","25","0","0","0","0","0","0","0","0","0","0","774"
"169889","0","45","0","0","0","0","0","0","0","3","0","0","1082"
"169901","0","100","0","0","0","0","0","0","0","0","0","0","3045"
"169911","0","265","0","0","0","0","0","0","0","0","0","0","959"
"169922","0","300","0","0","0","0","0","0","0","0","0","0","2791"
"169925","0","110","0","0","0","0","0","0","0","0","0","0","1088"
"169941","0","25","0","0","0","0","0","0","0","0","0","0","1459"
"169942","0","100","0","0","0","0","0","0","0","0","0","0","1460"
"169963","0","0","0","0","0","0","35","0","0","0","0","0","768"
"169985","0","200","0","0","0","0","0","0","0","1","0","0","769"
"169986","0","55","0","0","0","0","0","0","0","0","0","0","770"
"170004","0","35","0","0","0","0","0","0","0","3","0","0","2098"
"170011","0","50","0","0","0","0","0","0","0","0","0","0","1014"
"170015","0","60","0","0","0","0","0","0","0","3","0","0","1329"
"170018","0","65","0","0","0","0","0","0","0","0","0","0","1062"
"170020","0","260","0","0","0","0","0","0","0","0","0","0","1064"
"170061","0","60","0","0","0","0","0","0","0","3","0","0","2589"
"170062","0","60","0","0","0","0","0","0","0","3","0","0","2590"
"170070","0","100","0","0","0","0","0","0","0","1","0","0","2565"
"170079","0","45","0","0","0","0","0","0","0","3","0","0","3029"
"170083","0","15","0","0","0","0","0","0","0","2","0","0","1755"
"170084","0","15","0","0","0","0","0","0","0","2","0","0","1756"
"170093","0","75","0","0","0","0","0","0","0","0","0","0","1449"
"170098","0","30","0","0","0","0","0","0","0","0","0","0","1495"
"170099","0","250","0","0","0","0","0","0","0","1","0","0","1680"
"170104","0","45","0","0","0","0","0","0","0","3","0","0","1757"
"170105","0","45","0","0","0","0","0","0","0","3","0","0","1758"
"170108","0","60","0","0","0","0","0","0","0","3","0","0","2591"
"170109","0","0","0","0","0","0","0","0","0","-2","0","0","1455"
"170110","0","30","0","0","0","0","0","0","0","3","0","0","1725"
"170125","0","100","0","0","0","0","0","0","0","1","0","0","1160"
"170129","0","0","0","0","0","0","14","0","0","0","0","0","988"
"170131","0","180","0","0","0","0","0","0","0","0","0","0","990"
"170161","0","150","0","0","0","0","0","0","0","1","0","0","7386"
"170170","0","85","0","0","0","0","0","0","0","0","0","0","699"
"170171","0","525","0","0","0","0","0","0","0","0","0","0","740"
"170199","0","0","0","0","0","0","13","0","0","0","0","0","1066"
"170220","0","300","0","0","0","0","0","0","0","0","0","0","974"
"170242","0","100","0","0","0","0","0","0","0","0","0","0","1706"
"170243","0","250","0","0","0","0","0","0","0","0","0","0","976"
"170251","0","20","0","0","0","0","0","0","0","0","0","0","1243"
"170267","0","95","0","0","0","0","0","0","0","0","0","0","1535"
"170272","0","50","0","0","0","0","0","0","0","0","0","0","1499"
"170294","0","75","0","0","0","0","0","0","0","0","0","0","778"
"170296","0","30","0","0","0","0","0","0","0","3","0","0","2094"
"170298","0","15","0","0","0","0","0","0","0","0","0","0","1130"
"170321","0","200","0","0","0","0","0","0","0","0","0","0","1245"
"170324","0","208","0","0","0","0","0","0","0","0","0","0","1086"
"170362","0","40","0","0","0","0","0","0","0","0","0","0","1463"
"170366","0","160","0","0","0","0","0","0","0","0","0","0","1106"
"170369","0","250","0","0","0","0","0","0","0","0","0","0","1461"
"170378","0","40","0","0","0","0","0","0","0","0","0","0","1058"
"170384","0","150","0","0","0","0","0","0","0","1","0","0","1464"
"170392","0","45","0","0","0","0","0","0","0","3","0","0","1777"
"170424","0","0","0","0","0","0","60","0","0","0","0","0","2006"
"170444","0","150","0","0","0","0","0","0","0","1","0","0","1608"
"170473","0","35","0","0","0","0","0","0","0","0","0","0","1513"
"170477","0","25","0","0","0","0","0","0","0","0","0","0","1022"
"170479","0","0","0","0","0","0","6","0","0","0","0","0","1038"
"170480","0","300","0","0","0","0","0","0","0","0","0","0","1098"
"170494","0","560","0","0","0","0","0","0","0","0","0","0","996"
"170502","0","95","0","0","0","0","0","0","0","0","0","0","970"
"170526","0","100","0","0","0","0","0","0","0","1","0","0","1715"
"170532","0","50","0","0","0","0","0","0","0","0","0","0","1543"
"170533","0","55","0","0","0","0","0","0","0","0","0","0","1120"
"170534","0","0","0","0","0","0","6","0","0","0","0","0","1152"
"170536","0","50","0","0","0","0","0","0","0","0","0","0","2908"
"170538","0","95","0","0","0","0","0","0","0","0","0","0","2912"
"170549","0","175","0","0","0","0","0","0","0","0","0","0","9592"
"170576","0","0","0","0","0","0","7","0","0","0","0","0","2870"
"170585","0","25","0","0","0","0","0","0","0","2","0","0","3009"
"170586","0","35","0","0","0","0","0","0","0","0","0","0","2878"
"170597","0","0","0","0","0","0","0","0","0","3","0","0","1850"
"170599","0","155","0","0","0","0","0","0","0","0","0","0","2941"
"170600","0","215","0","0","0","0","0","0","0","0","0","0","2944"
"170605","0","650","0","0","0","0","0","0","0","0","0","0","8423"
"170613","0","25","0","0","0","0","0","0","0","2","0","0","3010"
"170626","0","195","0","0","0","0","0","0","0","0","0","0","2120"
"170634","0","680","0","0","0","0","0","0","0","0","0","0","2894"
"170643","0","115","0","0","0","0","0","0","0","0","0","0","2138"
"170655","0","0","0","0","0","0","0","0","0","3","0","0","2983"
"170724","0","100","0","0","0","0","0","0","0","0","0","0","2139"
"170735","0","175","0","0","0","0","0","0","0","0","0","0","3747"
"170752","0","45","0","0","0","0","0","0","0","3","0","0","1759"
"170763","0","15","0","0","0","0","0","0","0","0","0","0","2973"
"170765","0","20","0","0","0","0","0","0","0","0","0","0","1126"
"170767","0","350","0","0","0","0","0","0","0","0","0","0","1510"
"170768","0","0","0","0","0","0","9","0","0","0","0","0","3043"
"170787","0","25","0","0","0","0","0","0","0","0","0","0","2652"
"170789","0","25","0","0","0","0","0","0","0","0","0","0","3044"
"170806","0","40","0","0","0","0","0","0","0","0","0","0","2974"
"170879","0","45","0","0","0","0","0","0","0","3","0","0","1752"
"170887","0","100","0","0","0","0","0","0","0","0","0","0","2643"
"170893","0","320","0","0","0","0","0","0","0","0","0","0","3738"
"170933","0","330","0","0","0","0","0","0","0","0","0","0","2121"
"170940","0","230","0","0","0","0","0","0","0","0","0","0","2767"
"170953","0","40","0","0","0","0","0","0","0","3","0","0","1824"
"170983","0","0","0","0","0","0","8","0","0","0","0","0","2782"
"170994","0","750","0","0","0","0","0","0","0","0","0","0","2825"
"171024","0","100","0","0","0","0","0","0","0","1","0","0","2048"
"171026","0","0","0","0","0","0","72","0","0","0","0","0","2008"
"171027","0","100","0","0","0","0","0","0","0","0","0","0","2645"
"171037","0","15","0","0","0","0","0","0","0","2","0","0","1753"
"171045","0","645","0","0","0","0","0","0","0","0","0","0","1949"
"171047","0","0","0","0","0","0","0","0","0","1","0","0","2457"
"171071","0","500","0","0","0","0","0","0","0","0","0","0","2362"
"171078","0","155","0","0","0","0","0","0","0","0","0","0","2054"
"171079","0","205","0","0","0","0","0","0","0","0","0","0","2055"
"171102","0","25","0","0","0","0","0","0","0","3","0","0","1943"
"171125","0","15","0","0","0","0","0","0","0","2","0","0","2649"
"171137","0","0","0","0","0","0","60","0","0","0","0","0","2010"
"171154","0","0","0","0","0","0","48","0","0","0","0","0","1515"
"171170","0","0","0","0","0","0","0","0","0","3","0","0","1856"
"171172","0","40","0","0","0","0","0","0","0","3","0","0","1823"
"171174","0","0","0","0","0","0","5","0","0","0","0","0","2484"
"171181","0","105","0","0","0","0","0","0","0","0","0","0","2090"
"171183","0","75","0","0","0","0","0","0","0","0","0","0","2137"
"171185","0","0","0","0","0","0","13","0","0","0","0","0","2893"
"171199","0","90","0","0","0","0","0","0","0","0","0","0","2637"
"171221","0","65","0","0","0","0","0","0","0","0","0","0","2096"
"171232","0","60","0","0","0","0","0","0","0","0","0","0","2947"
