Class,SkillLineID,SkillLine,SpellID,SpellName,UsageTag,PlaystyleTags,AcquireMethod,ClassMask,RaceMask
Paladin,184,Retribution,67,Vindication,utility-or-rank,utility,0,2,0
Paladin,184,Retribution,7294,Retribution Aura,utility-or-rank,utility,0,2,0
Paladin,184,Retribution,9452,Vindication,utility-or-rank,utility,0,2,0
Paladin,184,Retribution,9799,Eye for an Eye,utility-or-rank,utility,0,2,0
Paladin,184,Retribution,10298,Retribution Aura,utility-or-rank,utility,0,2,0
Paladin,184,Retribution,10299,Retribution Aura,utility-or-rank,utility,0,2,0
Paladin,184,Retribution,10300,Retribution Aura,utility-or-rank,utility,0,2,0
Paladin,184,Retribution,10301,Retribution Aura,utility-or-rank,utility,0,2,0
Paladin,184,Retribution,19740,Blessing of Might,utility-or-rank,utility,0,2,0
Paladin,184,Retribution,19834,Blessing of Might,utility-or-rank,utility,0,2,0
Paladin,184,Retribution,19835,Blessing of Might,utility-or-rank,utility,0,2,0
Paladin,184,Retribution,19836,Blessing of Might,utility-or-rank,utility,0,2,0
Paladin,184,Retribution,19837,Blessing of Might,utility-or-rank,utility,0,2,0
Paladin,184,Retribution,19838,Blessing of Might,utility-or-rank,utility,0,2,0
Paladin,184,Retribution,20042,Improved Blessing of Might,talent-passive,utility,0,0,0
Paladin,184,Retribution,20045,Improved Blessing of Might,talent-passive,utility,0,0,0
Paladin,184,Retribution,20046,Improved Blessing of Might,talent-passive,utility,0,0,0
Paladin,184,Retribution,20047,Improved Blessing of Might,talent-passive,utility,0,0,0
Paladin,184,Retribution,20048,Improved Blessing of Might,talent-passive,utility,0,0,0
Paladin,184,Retribution,20049,Vengeance,utility-or-rank,utility,0,0,0
Paladin,184,Retribution,20056,Vengeance,utility-or-rank,utility,0,0,0
Paladin,184,Retribution,20057,Vengeance,utility-or-rank,utility,0,0,0
Paladin,184,Retribution,20058,Vengeance,utility-or-rank,utility,0,0,0
Paladin,184,Retribution,20059,Vengeance,utility-or-rank,utility,0,0,0
Paladin,184,Retribution,20060,Deflection,utility-or-rank,utility,0,0,0
Paladin,184,Retribution,20061,Deflection,utility-or-rank,utility,0,0,0
Paladin,184,Retribution,20062,Deflection,utility-or-rank,utility,0,0,0
